Id	Description	Qty	Unit	Designators	Manufacturer	MPN	Supplier	SPN
1	Connector, Hirose DF13, female, 4 pins, GY	2		X1, X2	Hirose	DF13-4S-1.25C		
2	Shrink tube + label, SUMITUBE-A-2.0x0.2-CLR	2		X1, X2				
3	Wire, AWG 28, BK	0.203	m	W1	Hirose	H4BBG-10102-B8	Digikey	H4BBG-10102-B8-ND
