Id	Description	Qty	Unit	Designators	Manufacturer	MPN	Supplier	SPN
1	Cable, 3 x 0.1 mm²	0.1	m	W1	Kyowa Harmonet	KFC		
2	Connector, Dupont, female, 7 pins, BK	1		X2	Neltron	2226A-07	Akizuki	112156
3	Connector, Futaba J (Keyed), female, 3 pins, BK	1		X1	AMASS		Little Bellanca	16769
4	Crimp, Dupont	7		X2	Neltron	2226TG	Akizuki	112327
5	Crimp, Futaba	3		X1	AMASS			
